video,frame,case,tp,fp,fn,tn,iou,dice,gt_area,pred_area
LapChol Case 0007 02,2049,TN,7224,5560,0,987216,0.565081351689612,0.7221111555377849,7224,12784
LapChol Case 0007 02,2070,TP,7500,975,2200,989325,0.702576112412178,0.8253094910591472,9700,8475
LapChol Case 0007 02,2128,TP,4984,6896,0,988120,0.41952861952861953,0.5910815939278937,4984,11880
LapChol Case 0007 02,2284,TP,6636,1636,158,991570,0.7871886120996441,0.8809239346873755,6794,8272
LapChol Case 0007 02,2568,TN,0,130854,13221,855925,0.0,0.0,13221,130854
LapChol Case 0007 02,2762,TP,8372,70603,637,920388,0.10516002612671456,0.19030732860520094,9009,78975
LapChol Case 0007 02,2905,TP,5917,488,4329,989266,0.5512390534749394,0.7107080655816468,10246,6405
LapChol Case 0007 02,3269,TP,0,32398,9804,957798,0.0,0.0,9804,32398
LapChol Case 0007 02,3926,TP,9102,66148,2220,922530,0.11749064153866012,0.2102758397634339,11322,75250
LapChol Case 0007 02,4477,TP,0,28050,26553,945397,0.0,0.0,26553,28050
LapChol Case 0007 02,5129,TP,10816,6558,0,982626,0.622539426729596,0.7673643135863781,10816,17374
LapChol Case 0007 02,5418,TN,0,31641,9900,958459,0.0,0.0,9900,31641
LapChol Case 0007 02,5575,TP,5780,5372,1530,987318,0.45576407506702415,0.6261510128913443,7310,11152
LapChol Case 0007 02,5732,TN,6560,2674,2848,987918,0.5429564641615626,0.7037871473017917,9408,9234
LapChol Case 0007 02,5751,TP,7062,873,2794,989271,0.6582160499580576,0.7938845483671519,9856,7935
LapChol Case 0007 02,6147,TP,8455,7785,0,983760,0.520628078817734,0.6847539987851792,8455,16240
LapChol Case 0007 02,6522,TP,11628,6622,912,980838,0.6068260098110845,0.7553101656381942,12540,18250
LapChol Case 0007 02,6637,TN,0,17969,12870,969161,0.0,0.0,12870,17969
LapChol Case 0007 02,7317,TN,0,31070,11960,956970,0.0,0.0,11960,31070
LapChol Case 0007 02,7338,TP,0,26208,15525,958267,0.0,0.0,15525,26208
LapChol Case 0007 02,7929,TP,21840,5088,3120,969952,0.7268370607028753,0.8418131359851989,24960,26928
LapChol Case 0007 02,8710,TP,14490,22113,920,962477,0.3861631532659969,0.5571684002076404,15410,36603
LapChol Case 0007 02,8744,TN,0,17472,13673,968855,0.0,0.0,13673,17472
LapChol Case 0007 02,8952,TP,7360,4298,184,988158,0.6215166357034285,0.7665868138735549,7544,11658
LapChol Case 0007 03,259,TN,5146,13654,2656,978544,0.23983967188665176,0.386888203894444,7802,18800
LapChol Case 0007 03,265,TP,0,18700,6732,974568,0.0,0.0,6732,18700
LapChol Case 0007 03,295,TN,3600,13100,40080,943220,0.06340260655160268,0.11924478304074197,43680,16700
LapChol Case 0007 03,1117,TP,7830,3170,4475,984525,0.5059773828756058,0.671958807122935,12305,11000
LapChol Case 0007 03,1487,TP,10250,0,8434,981316,0.5485977306786556,0.7085090205294808,18684,10250
LapChol Case 0007 03,1669,TP,6177,2871,4639,986313,0.45130415722948786,0.6219291180024165,10816,9048
LapChol Case 0007 03,2114,TP,5180,3244,976,990600,0.551063829787234,0.710562414266118,6156,8424
LapChol Case 0007 03,2456,TP,9840,1035,4674,984451,0.6328381246382404,0.7751388396549687,14514,10875
LapChol Case 0007 03,2507,TP,8084,2444,6958,982514,0.4623127073087041,0.6323034806413766,15042,10528
LapChol Case 0007 03,2630,TP,7128,2187,6088,984597,0.46276699344283584,0.6327282410900537,13216,9315
LapChol Case 0007 03,2745,TP,7134,2784,7386,982696,0.4122746185852982,0.5838448318192978,14520,9918
LapChol Case 0007 03,3445,TP,7738,4817,11414,976031,0.3228336601443531,0.4880941117103479,19152,12555
LapChol Case 0007 03,3628,TP,9180,6296,0,984524,0.5931765314034634,0.744646333549643,9180,15476
LapChol Case 0007 03,3759,TP,13287,8590,5031,973092,0.4937936673108369,0.6611270058464983,18318,21877
LapChol Case 0007 03,4201,TP,27027,15093,0,957880,0.6416666666666667,0.7817258883248731,27027,42120
LapChol Case 0007 03,4519,TP,15232,952,13426,970390,0.5144208037825059,0.679363097096472,28658,16184
